SchoolName,URL,Sector,Year_Range,Type,Address,Suburb,State,Postcode,Latitude,Longitude,Score
Kallista Primary School,www.kallistaps.vic.edu.au,Government,Prep-6,Primary,72 MONBULK ROAD,KALLISTA,VIC,3791,-37.885395,145.370181,87
Ringwood Heights Primary School,http://www.ringwoodheights.vic.edu.au,Government,Prep-6,Primary,60 SUMMIT CRESCENT,RINGWOOD NORTH,VIC,3134,-37.803008,145.217312,87
Ferny Creek Primary School,http://www.fernycreekps.vic.edu.au,Government,Prep-6,Primary,SCHOOL ROAD,FERNY CREEK,VIC,3786,-37.8837334,145.3334654,91
Bayswater West Primary School,http://www.baywestps.vic.edu.au/,Government,Prep-6,Primary,PHYLLIS STREET,BAYSWATER,VIC,3153,-37.8493048,145.253015,73
Ferntree Gully North Primary School,http://www.ferntree.vic.edu.au,Government,Prep-6,Primary,111 FOREST ROAD,FERNTREE GULLY,VIC,3156,-37.874843,145.298427,74
Bayswater South Primary School,http://www.baysouthps.vic.edu.au,Government,Prep-6,Primary,ENFIELD DRIVE,BAYSWATER,VIC,3153,-37.8556033,145.2607376,88
Marlborough Primary School,http://www.marlboroughps.vic.edu.au,Government,Prep-6,Primary,HARDY CRESCENT,HEATHMONT,VIC,3135,-37.8363552,145.2319118,77
The Patch Primary School,http://www.thepatchps.vic.edu.au,Government,Prep-6,Primary,53 KALLISTA-EMERALD ROAD,THE PATCH,VIC,3792,-37.891858,145.393718,84
Wattle View Primary School,http://www.wvps.vic.edu.au,Government,Prep-6,Primary,WATTLETREE ROAD,FERNTREE GULLY,VIC,3156,-37.87428914,145.2786523,76
Fairhills Primary School,http://www.fairhillsps.vic.edu.au,Government,Prep-6,Primary,MANUKA DRIVE,FERNTREE GULLY,VIC,3156,-37.8695063,145.2645426,75
Antonio Park Primary School,http://www.antoniops.vic.edu.au,Government,Prep-6,Primary,631-639 WHITEHORSE ROAD,MITCHAM,VIC,3132,-37.815306,145.206183,89
Regency Park Primary School,http://www.regency-park-ps.vic.edu.au,Government,Prep-6,Primary,AMESBURY AVENUE,WANTIRNA,VIC,3152,-37.8543476,145.2360177,92
Upper Ferntree Gully Primary School,http://www.uppergullyps.vic.edu.au/,Government,Prep-6,Primary,TALASKIA ROAD,UPPER FERNTREE GULLY,VIC,3156,-37.8958699,145.3141678,67
Toorak Primary School,http://www.toorakps.vic.edu.au,Government,Prep-6,Primary,CANTERBURY ROAD,TOORAK,VIC,3142,-37.8451539,145.010029,97
Armadale Primary School,http://www.armadaleps.vic.edu.au,Government,Prep-6,Primary,9-23 DENSHAM ROAD,ARMADALE,VIC,3143,-37.852167,145.017365,91
Stonnington Primary School,http://www.stonningtonps.vic.edu.au,Government,Prep-6,Primary,HORNBY STREET,WINDSOR,VIC,3181,-37.8572072,144.9956246,76
Richmond Primary School,http://www.richmondps.vic.edu.au,Government,Prep-6,Primary,85 BRIGHTON STREET,RICHMOND,VIC,3121,-37.829751,144.999611,96
South Yarra Primary School,http://www.southyarraps.vic.edu.au/,Government,Prep-6,Primary,601 PUNT ROAD,SOUTH YARRA,VIC,3141,-37.842234,144.985707,98
Auburn South Primary School,http://www.auburnsthps.vic.edu.au,Government,Prep-6,Primary,419 TOORONGA ROAD,HAWTHORN EAST,VIC,3123,-37.839131,145.044822,96
Hawthorn West Primary School,http://www.hawthornwestps.vic.edu.au,Government,Prep-6,Primary,CNR WOOD STREET & BURWOOD ROAD,HAWTHORN,VIC,3122,-37.820626,145.018517,96
Glenferrie Primary School,http://www.glenferrieps.vic.edu.au,Government,Prep-6,Primary,78 - 98 MANNINGTREE ROAD,HAWTHORN,VIC,3122,-37.824424,145.033488,94
Ripponlea Primary School,http://www.ripponleaps.vic.edu.au,Government,Prep-6,Primary,25 CARRINGTON GROVE,ST KILDA EAST,VIC,3183,-37.874693,145.005027,87
Yarra Primary School,http://www.yarraps.vic.edu.au,Government,Prep-6,Primary,DAVISON STREET,RICHMOND,VIC,3121,-37.8147,145.00682,82
St Kilda Primary School,http://www.stkildaps.vic.edu.au,Government,Prep-6,Primary,2B BRIGHTON ROAD,ST KILDA,VIC,3182,-37.869604,144.989266,87
St Kilda Park Primary School,http://www.skipps.vic.edu.au,Government,Prep-6,Primary,68 FITZROY STREET,ST KILDA,VIC,3182,-37.858,144.977467,95
Malvern Primary School,http://www.malvernps.vic.edu.au,Government,Prep-6,Primary,17 TOORONGA ROAD,MALVERN EAST,VIC,3145,-37.871669,145.037994,98
Richmond West Primary School,http://www.richmondwestps.vic.edu.au,Government,Prep-6,Primary,25 LENNOX STREET,RICHMOND,VIC,3121,-37.813842,144.995935,90
Camberwell Primary School,http://www.camberwellps.vic.edu.au,Government,Prep-6,Primary,290 CAMBERWELL ROAD,CAMBERWELL,VIC,3124,-37.833118,145.057999,99
Abbotsford Primary School,http://www.abbotsfordps.vic.edu.au,Government,Prep-6,Primary,LITHGOW STREET,ABBOTSFORD,VIC,3067,-37.8100058,144.9984168,88
Camberwell South Primary School,http://www.cambsth.vic.edu.au,Government,Prep-6,Primary,PEATE AVENUE,GLEN IRIS,VIC,3146,-37.8477469,145.0621784,96
Auburn Primary School,http://www.auburnps.vic.edu.au,Government,Prep-6,Primary,51 RATHMINES ROAD,HAWTHORN EAST,VIC,3123,-37.819617,145.050411,94
Elwood Primary School,http://www.elwoodprimary.vic.edu.au,Government,Prep-6,Primary,SCOTT STREET,ELWOOD,VIC,3184,-37.8817715,144.9870848,95
Caulfield Primary School,http://www.caulfieldps.vic.edu.au,Government,Prep-6,Primary,724 GLEN HUNTLY ROAD,CAULFIELD SOUTH,VIC,3162,-37.88746,145.020199,93
Lloyd Street Primary School,http://www.lloydstps.vic.edu.au,Government,Prep-6,Primary,LLOYD STREET,MALVERN EAST,VIC,3145,-37.8725701,145.0564078,94
Glen Iris Primary School,http://www.gips.vic.edu.au,Government,Prep-6,Primary,170 GLEN IRIS ROAD,GLEN IRIS,VIC,3146,-37.859905,145.065636,97
Kew Primary School,http://www.kewps.vic.edu.au,Government,Prep-6,Primary,PEEL STREET,KEW,VIC,3101,-37.8041385,145.0332588,91
Middle Park Primary School,http://www.middleparkps.vic.edu.au,Government,Prep-6,Primary,194 RICHARDSON STREET,MIDDLE PARK,VIC,3206,-37.848084,144.95777,92
Elsternwick Primary School,http://www.elsternwickps.vic.edu.au,Government,Prep-6,Primary,MURPHY STREET,BRIGHTON,VIC,3186,-37.8914355,144.9981048,87
Albert Park Primary School,http://www.albertparkps.vic.edu.au,Government,Prep-6,Primary,BRIDPORT STREET,ALBERT PARK,VIC,3206,-37.8419123,144.9524093,97
Caulfield South Primary School,http://www.caulfieldsthps.vic.edu.au,Government,Prep-6,Primary,24 BUNDEERA ROAD,CAULFIELD SOUTH,VIC,3162,-37.895535,145.030382,96
Deepdene Primary School,http://www.deepdeneps.vic.edu.au,Government,Prep-6,Primary,958A BURKE ROAD,BALWYN,VIC,3103,-37.809296,145.0617,99
Fitzroy Primary School,http://www.fitzroyprimaryschool.vic.edu.au,Government,Prep-6,Primary,319 GEORGE STREET,FITZROY,VIC,3065,-37.799502,144.981205,67
Solway Primary School,http://www.solway.vic.edu.au/,Government,Prep-6,Primary,WINTON ROAD,ASHBURTON,VIC,3147,-37.8733036,145.0729716,94
Glen Huntly Primary School,http://www.glenhuntlyps.vic.edu.au,Government,Prep-6,Primary,GRANGE ROAD,GLEN HUNTLY,VIC,3163,-37.8936642,145.046334,95
Mount Eliza North Primary School,http://www.menps.vic.edu.au,Government,Prep-6,Primary,6 MOSELEY DRIVE,MOUNT ELIZA,VIC,3930,-38.187904,145.100023,93
Kunyung Primary School,http://www.kunyung.vic.edu.au,Government,Prep-6,Primary,50 KUNYUNG ROAD,MOUNT ELIZA,VIC,3930,-38.18769,145.075366,85
Mount Eliza Primary School,http://www.mtelizaps.vic.edu.au/,Government,Prep-6,Primary,WOORALLA DRIVE,MOUNT ELIZA,VIC,3930,-38.1947497,145.0928762,89
Derinya Primary School,http://www.derinya.vic.edu.au,Government,Prep-6,Primary,OVERPORT ROAD,FRANKSTON SOUTH,VIC,3199,-38.17130531,145.1208573,91
Overport Primary School,http://www.overport-ps.vic.edu.au,Government,Prep-6,Primary,TOWERHILL ROAD,FRANKSTON,VIC,3199,-38.1598388,145.126931,77
Frankston Primary School,http://www.frankstonps.vic.edu.au,Government,Prep-6,Primary,DAVEY STREET,FRANKSTON,VIC,3199,-38.147507,145.1235772,83
Frankston Heights Primary School,http://www.frankstonhts-ps.vic.edu.au,Government,Prep-6,Primary,KALMIA STREET,FRANKSTON,VIC,3199,-38.1616046,145.1467003,74
Kingsley Park Primary School,http://www.kingsleypark.vic.edu.au,Government,Prep-6,Primary,FRANCISCAN AVENUE,FRANKSTON,VIC,3199,-38.1685807,145.1563319,72
Kananook Primary School,http://www.kps.vic.edu.au,Government,Prep-6,Primary,22 WELLS ROAD,SEAFORD,VIC,3198,-38.12516,145.13217,68
Karingal Primary School,http://www.karingalps.vic.edu.au,Government,Prep-6,Primary,MALLUM AVENUE,FRANKSTON,VIC,3199,-38.1375439,145.1516649,71
Ballam Park Primary School,http://www.ballamparkps.vic.edu.au,Government,Prep-6,Primary,BELAR AVENUE,FRANKSTON,VIC,3199,-38.1487793,145.1637267,78
Baxter Primary School,http://www.baxterps.vic.edu.au/,Government,Prep-6,Primary,GRANT ROAD,BAXTER,VIC,3911,-38.1993723,145.1812792,75
Moorooduc Primary School,http://www.moorooducps.vic.edu.au/,Government,Prep-6,Primary,CNR DERRIL RD & MORNINGTON TYABB RD,MOOROODUC,VIC,3933,-38.2488649,145.1048564,84
Benton Junior College,http://benton.vic.edu.au,Government,Prep-6,Primary,261 RACECOURSE ROAD,MORNINGTON,VIC,3931,-38.245962,145.060199,82
Seaford Primary School,http://www.seafordps.vic.edu.au,Government,Prep-6,Primary,MCRAE STREET,SEAFORD,VIC,3198,-38.1044023,145.1313257,65
Belvedere Park Primary School,http://www.belvedereparkps.vic.edu.au,Government,Prep-6,Primary,30 BELVEDERE ROAD,SEAFORD,VIC,3198,-38.110351,145.146612,74
Langwarrin Primary School,http://www.langwarrinps.vic.edu.au,Government,Prep-6,Primary,90 WARRANDYTE ROAD,LANGWARRIN,VIC,3910,-38.160556,145.190676,76
Somerville Rise Primary School,http://www.somerville-rise-ps.vic.edu.au,Government,Prep-6,Primary,BLACKS CAMP ROAD,SOMERVILLE,VIC,3912,-38.2298846,145.1680344,73
Seaford Park Primary School,http://www.seafordpark.vic.edu.au/,Government,Prep-6,Primary,141 EAST ROAD,SEAFORD,VIC,3198,-38.105138,145.153726,71
Somerville Primary School,http://www.somervilleps.vic.edu.au,Government,Prep-6,Primary,37 ERAMOSA ROAD EAST,SOMERVILLE,VIC,3912,-38.22468,145.179219,74
Seaford North Primary School,http://www.seaford-northps.vic.edu.au,Government,Prep-6,Primary,HALLIFAX STREET,SEAFORD,VIC,3198,-38.0896594,145.1342636,80
Osborne Primary School,http://www.osborneps.vic.edu.au,Government,Prep-6,Primary,120 CRAIGIE RD,MOUNT MARTHA,VIC,3934,-38.257383,145.03999,81
Woodlands Primary School,http://www.woodlandsps.vic.edu.au,Government,Prep-6,Primary,10 GUM NUT DRIVE,LANGWARRIN,VIC,3910,-38.135271,145.203857,92
Carrum Primary School,http://www.carrumps.vic.edu.au,Government,Prep-6,Primary,WALKERS ROAD,CARRUM,VIC,3197,-38.0776063,145.1268042,83
Skye Primary School,http://www.skyeps.vic.edu.au,Government,Prep-6,Primary,395 BALLARTO ROAD,SKYE,VIC,3977,-38.117422,145.200632,72
Tyabb Primary School,http://www.tyabbps.vic.edu.au,Government,Prep-6,Primary,186 MORNINGTON-TYABB ROAD,TYABB,VIC,3913,-38.26059,145.166053,75
Rowellyn Park Primary School,http://www.rowellynpark.vic.edu.au/,Government,Prep-6,Primary,ROWELLYN AVENUE,CARRUM DOWNS,VIC,3201,-38.1043053,145.1921368,81
Banyan Fields Primary School,http://carrumdownsps.vic.edu.au,Government,Prep-6,Primary,90 CADLES ROAD,CARRUM DOWNS,VIC,3201,-38.094572,145.186809,77
Bonbeach Primary School,http://www.bonbeachps.vic.edu.au,Government,Prep-6,Primary,29-63 BREEZE STREET,BONBEACH,VIC,3196,-38.066314,145.126248,95
Patterson Lakes Primary School,http://www.patterson-lakes-ps.vic.edu.au,Government,Prep-6,Primary,130-148 GLADESVILLE BOULEVARD,PATTERSON LAKES,VIC,3197,-38.069843,145.144404,92
Pearcedale Primary School,http://pearcedaleschool.com.au/,Government,Prep-6,Primary,BAXTER-TOORADIN ROAD,PEARCEDALE,VIC,3912,-38.2028207,145.231694,84
Mount Martha Primary School,http://www.mtmarthaps.vic.edu.au,Government,Prep-6,Primary,37 - 55 GLENISLA DRIVE,MOUNT MARTHA,VIC,3934,-38.274653,145.013011,80
Tyabb Railway Station Primary School,http://www.tyabbrailps.vic.edu.au,Government,Prep-6,Primary,88 THE CRESCENT,TYABB,VIC,3913,-38.262026,145.192311,66
Chelsea Primary School,http://www.chelseaps.vic.edu.au,Government,Prep-6,Primary,34-44 ARGYLE AVE,CHELSEA,VIC,3196,-38.055183,145.122499,81
Cranbourne South Primary School,http://www.cranbournesouth.vic.edu.au/,Government,Prep-6,Primary,PEARCEDALE ROAD,CRANBOURNE SOUTH,VIC,3977,-38.148201,145.2449763,72
Chelsea Heights Primary School,http://www.chps.vic.edu.au,Government,Prep-6,Primary,THAMES PROMENADE,CHELSEA HEIGHTS,VIC,3196,-38.045456,145.1378631,83
Edithvale Primary School,http://www.edithvaleps.vic.edu.au,Government,Prep-6,Primary,EDITHVALE ROAD,EDITHVALE,VIC,3196,-38.0395699,145.1127757,86
Aspendale Gardens Primary School,http://www.agps.vic.edu.au,Government,Prep-6,Primary,96 KEARNEY DRIVE,ASPENDALE GARDENS,VIC,3195,-38.024366,145.114153,90
Aspendale Primary School,http://www.aspendale.vic.edu.au,Government,Prep-6,Primary,23 LAURA STREET,ASPENDALE,VIC,3195,-38.01966,145.101206,94
Lyndhurst Primary School,http://www.lyndhurstps.vic.edu.au,Government,Prep-6,Primary,70 BROOKWATER PARADE,LYNDHURST,VIC,3975,-38.074443,145.253676,72
Cranbourne Park Primary School,http://www.crannthps.vic.edu.au,Government,Prep-6,Primary,1 TUCKER STREET,CRANBOURNE,VIC,3977,-38.103238,145.277675,71
Cranbourne Primary School,http://www.cranbourne-ps.vic.edu.au/,Government,Prep-6,Primary,BAKEWELL STREET,CRANBOURNE,VIC,3977,-38.111954,145.28861,70
Mordialloc Beach Primary School,http://www.mordiallocps.vic.edu.au,Government,Prep-6,Primary,58 BARKLY STREET,MORDIALLOC,VIC,3195,-38.005385,145.088451,92
Rangebank Primary School,http://rangebankps.vic.edu.au/,Government,Prep-6,Primary,14-36 LESDON AVENUE,CRANBOURNE,VIC,3977,-38.087745,145.275765,69
Lynbrook Primary School,http://www.lynbrookps.vic.edu.au,Government,Prep-6,Primary,PATERSON DRIVE,LYNBROOK,VIC,3975,-38.051136,145.2487203,80
Courtenay Gardens Primary School,http://www.cgps.vic.edu.au/,Government,Prep-6,Primary,ROSEBANK DRIVE,CRANBOURNE NORTH,VIC,3977,-38.0798417,145.2828802,91
Cranbourne East Primary School,http://www.cranbourneeastps.vic.edu.au,Government,Prep-6,Primary,2 BOWYER AVENUE,CRANBOURNE EAST,VIC,3977,-38.105673,145.30461,73
Parkdale Primary School,http://www.parkdaleps.vic.edu.au,Government,Prep-6,Primary,305 NEPEAN HIGHWAY,PARKDALE,VIC,3195,-37.992861,145.083892,95
Parktone Primary School,http://www.parktoneps.vic.edu.au,Government,Prep-6,Primary,ROBERT STREET,PARKDALE,VIC,3195,-37.98676429,145.0848566,90
Clyde Primary School,http://www.clydeps.vic.edu.au/,Government,Prep-6,Primary,OROYA GROVE,CLYDE,VIC,3978,-38.1151783,145.3201747,86
Strathaird Primary School,http://www.strathairdps.vic.edu.au,Government,Prep-6,Primary,20 SHERWOOD ROAD,NARRE WARREN SOUTH,VIC,3805,-38.062447,145.287142,81
Laburnum Primary School,http://www.laburnumps.vic.edu.au,Government,Prep-6,Primary,JANET STREET,BLACKBURN,VIC,3130,-37.8271373,145.1381611,97
Kerrimuir Primary School,http://www.kerrimuirps.vic.edu.au/,Government,Prep-6,Primary,178 DORKING ROAD,BOX HILL NORTH,VIC,3129,-37.80327,145.135035,97
Mont Albert Primary School,http://www.maps.vic.edu.au,Government,Prep-6,Primary,BARLOA ROAD,MONT ALBERT,VIC,3127,-37.8120298,145.1034457,99
Box Hill North Primary School,http://www.bhnps.vic.edu.au,Government,Prep-6,Primary,ELIZABETH STREET,BOX HILL NORTH,VIC,3129,-37.8003196,145.1229639,91
Roberts McCubbin Primary School,http://www.robmacps.vic.edu.au,Government,Prep-6,Primary,57 BIRDWOOD STREET,BOX HILL SOUTH,VIC,3128,-37.835412,145.125573,85
Surrey Hills Primary School,http://www.surreyhillsps.vic.edu.au,Government,Prep-6,Primary,BEATRICE AVENUE,SURREY HILLS,VIC,3127,-37.8257642,145.1006462,94
Chatham Primary School,http://www.chathamps.vic.edu.au,Government,Prep-6,Primary,WEYBRIDGE STREET,SURREY HILLS,VIC,3127,-37.8179706,145.0931548,92
Old Orchard Primary School,http://www.oldorchardps.vic.edu.au,Government,Prep-6,Primary,88 KOONUNG ROAD,BLACKBURN NORTH,VIC,3130,-37.807006,145.15153,93
Birralee Primary School,http://www.birralee.vic.edu.au/,Government,Prep-6,Primary,HEYINGTON AVENUE,DONCASTER,VIC,3108,-37.793408,145.1140131,99
Blackburn Primary School,http://www.blackburnps.vic.edu.au,Government,Prep-6,Primary,185 WHITEHORSE ROAD,BLACKBURN,VIC,3130,-37.817156,145.157392,95
Greythorn Primary School,http://www.greythornps.vic.edu.au,Government,Prep-6,Primary,READING AVENUE,BALWYN NORTH,VIC,3104,-37.8016886,145.0961244,98
Orchard Grove Primary School,http://www.orchgveps.vic.edu.au,Government,Prep-6,Primary,101 ORCHARD GROVE,BLACKBURN SOUTH,VIC,3130,-37.840467,145.147694,97
Doncaster Primary School,http://www.doncasterps.vic.edu.au,Government,Prep-6,Primary,2 - 12 COUNCIL STREET,DONCASTER,VIC,3108,-37.78608,145.129925,97
Wattle Park Primary School,http://www.wattleparkps.vic.edu.au,Government,Prep-6,Primary,225 WARRIGAL ROAD,BURWOOD,VIC,3125,-37.842719,145.09843,97
Balwyn Primary School,http://www.balwynps.vic.edu.au/,Government,Prep-6,Primary,86B BALWYN ROAD,BALWYN,VIC,3103,-37.814179,145.081973,99
Canterbury Primary School,http://www.canterburyps.vic.edu.au,Government,Prep-6,Primary,MOLESWORTH STREET,CANTERBURY,VIC,3126,-37.8310903,145.084033,96
Blackburn Lake Primary School,http://www.blps.vic.edu.au,Government,Prep-6,Primary,12 - 14 FLORENCE STREET,BLACKBURN,VIC,3130,-37.826961,145.165585,96
Beverley Hills Primary School,http://www.bevhillsps.vic.edu.au,Government,Prep-6,Primary,2 - 14 CASSOWARY STREET,DONCASTER EAST,VIC,3109,-37.796817,145.159556,100
Whitehorse Primary School,http://www.whitehorseps.vic.edu.au,Government,Prep-6,Primary,70-86 JUNCTION ROAD,BLACKBURN NORTH,VIC,3130,-37.808634,145.16712,97
Doncaster Gardens Primary School,http://www.dgps.vic.edu.au,Government,Prep-6,Primary,SANDHURST AVENUE,DONCASTER EAST,VIC,3109,-37.782157,145.1480785,100
Boroondara Park Primary School,http://www.bpark.vic.edu.au,Government,Prep-6,Primary,40 ALMOND STREET,BALWYN NORTH,VIC,3104,-37.789135,145.087219,93
Donvale Primary School,http://www.donvaleps.vic.edu.au,Government,Prep-6,Primary,ELATA STREET,DONVALE,VIC,3111,-37.801109,145.1733834,89
Balwyn North Primary School,http://www.balwynnorthps.vic.edu.au,Government,Prep-6,Primary,BUCHANAN AVENUE,BALWYN NORTH,VIC,3104,-37.7963243,145.0765864,98
Burwood Heights Primary School,http://www.burwoodhps.vic.edu.au,Government,Prep-6,Primary,CNR HAWTHORN & MAHONEYS RDS,BURWOOD EAST,VIC,3151,-37.8472714,145.1633128,93
Hartwell Primary School,http://www.hartwellps.vic.edu.au,Government,Prep-6,Primary,MILVERTON ST,CAMBERWELL,VIC,3124,-37.8478498,145.084312,99
Donburn Primary School,http://www.donburn.vic.edu.au,Government,Prep-6,Primary,COLCHESTER DRIVE,DONCASTER EAST,VIC,3109,-37.7876089,145.1662589,92
Essex Heights Primary School,http://www.essexheightsps.vic.edu.au/,Government,Prep-6,Primary,ESSEX ROAD,MOUNT WAVERLEY,VIC,3149,-37.8638472,145.1153926,97
Burwood East Primary School,http://www.burwoodeastps.vic.edu.au,Government,Prep-6,Primary,CNR BLACKBURN AND HIGHBURY RDS,BURWOOD EAST,VIC,3151,-37.8589937,145.1517776,100
Parkhill Primary School,http://www.parkhillps.vic.edu.au,Government,Prep-6,Primary,PARKHILL DRIVE,ASHWOOD,VIC,3147,-37.8628062,145.1064052,88
Parkmore Primary School,http://www.parkmore.vic.edu.au/,Government,Prep-6,Primary,JOLIMONT ROAD,FOREST HILL,VIC,3131,-37.8436734,145.1763034,93
Belle Vue Primary School,http://www.bellevueps.vic.edu.au/,Government,Prep-6,Primary,20 HIGHVIEW ROAD,BALWYN NORTH,VIC,3104,-37.781879,145.079125,93
Mount Waverley North Primary School,http://www.mtwavnth.vic.edu.au,Government,Prep-6,Primary,MARCUS AVENUE,MOUNT WAVERLEY,VIC,3149,-37.867627,145.1416642,85
Serpell Primary School,http://www.serpellps.vic.edu.au,Government,Prep-6,Primary,TUCKERS ROAD,TEMPLESTOWE,VIC,3106,-37.7698306,145.155184,100
Mitcham Primary School,http://www.mitcham.ps.vic.edu.au,Government,Prep-6,Primary,294 MITCHAM ROAD,MITCHAM,VIC,3132,-37.809334,145.191599,94
Ashburton Primary School,http://www.ashburtonps.vic.edu.au,Government,Prep-6,Primary,FAKENHAM ROAD,ASHBURTON,VIC,3147,-37.8622856,145.0845493,98
Livingstone Primary School,http://www.livingstoneps.vic.edu.au,Government,Prep-6,Primary,LIVINGSTONE ROAD,VERMONT SOUTH,VIC,3133,-37.8522547,145.1813819,98
Glendal Primary School,http://www.glendalps.vic.edu.au,Government,Prep-6,Primary,55 NOTTINGHAM STREET,GLEN WAVERLEY,VIC,3150,-37.867758,145.159068,99
Vermont Primary School,http://www.vermontps.vic.edu.au,Government,Prep-6,Primary,4-10 NURLENDI ROAD,VERMONT,VIC,3133,-37.837748,145.193542,99
Weeden Heights Primary School,http://www.weedenheightsps.vic.edu.au,Government,Prep-6,Primary,WEEDEN DRIVE,VERMONT SOUTH,VIC,3133,-37.8591744,145.1776103,99
Milgate Primary School,http://www.milgateps.vic.edu.au.,Government,Prep-6,Primary,96 LANDSCAPE DRIVE,DONCASTER EAST,VIC,3109,-37.774115,145.176272,97
Kew East Primary School,http://www.keps.vic.edu.au,Government,Prep-6,Primary,35 KITCHENER STREET,KEW EAST,VIC,3102,-37.796702,145.050078,97
Highvale Primary School,http://www.highvaleps.vic.edu.au/,Government,Prep-6,Primary,33 ASHTON STREET,GLEN WAVERLEY,VIC,3150,-37.8662,145.173756,98
Templestowe Park Primary School,http://www.templestoweparkps.vic.edu.au,Government,Prep-6,Primary,399 CHURCH ROAD,TEMPLESTOWE,VIC,3106,-37.755799,145.142265,95
Mount Waverley Primary School,http://www.mountwaverleyps.vic.edu.au/,Government,Prep-6,Primary,37-45 PARK LANE,MOUNT WAVERLEY,VIC,3149,-37.881384,145.123706,98
Syndal South Primary School,http://www.syndalsp.vic.edu.au,Government,Prep-6,Primary,14 MONTGOMERY AVENUE,MOUNT WAVERLEY,VIC,3149,-37.879832,145.143371,96
Rangeview Primary School,http://www.rangeview.vic.edu.au,Government,Prep-6,Primary,27 CHURINGA AVENUE,MITCHAM,VIC,3132,-37.828792,145.205811,98
Banyule Primary School,http://www.banyuleps.vic.edu.au,Government,Prep-6,Primary,BANYULE ROAD,ROSANNA,VIC,3084,-37.743075,145.0779385,98
Viewbank Primary School,http://www.viewbankps.vic.edu.au,Government,Prep-6,Primary,NEVIN PARADE,VIEWBANK,VIC,3084,-37.7339667,145.0904113,87
Rosanna Golf Links Primary School,http://www.rosanna-golflinks-ps.vic.edu.au,Government,Prep-6,Primary,INTERLAKEN PARADE,ROSANNA,VIC,3084,-37.7353363,145.0748091,93
Rosanna Primary School,http://www.rosannaps.vic.edu.au,Government,Prep-6,Primary,GRANDVIEW GROVE,ROSANNA,VIC,3084,-37.7351731,145.063295,89
Heidelberg Primary School,http://heidelbergps.vic.edu.au,Government,Prep-6,Primary,CAPE STREET,HEIDELBERG,VIC,3084,-37.7545351,145.0674529,95
Streeton Primary School,http://www.streetonps.vic.edu.au,Government,Prep-6,Primary,YALLAMBIE ROAD,YALLAMBIE,VIC,3085,-37.7214333,145.1017892,85
Lower Plenty Primary School,http://www.lowerplentyps.vic.edu.au,Government,Prep-6,Primary,126-146 MAIN ROAD,LOWER PLENTY,VIC,3093,-37.727108,145.114977,89
Watsonia Heights Primary School,http://www.watsoniaheightsps.vic.edu.au,Government,Prep-6,Primary,61 HENRY STREET,GREENSBOROUGH,VIC,3088,-37.715536,145.100012,81
Watsonia Primary School,http://www.watsoniaps.vic.edu.au,Government,Prep-6,Primary,NELL STREET WEST,WATSONIA,VIC,3087,-37.7066643,145.0869968,79
Bundoora Primary School,http://www.bundooraps.vic.edu.au,Government,Prep-6,Primary,BALMORAL AVENUE,BUNDOORA,VIC,3083,-37.707557,145.063369,85
Montmorency Primary School,http://www.montmorencyps.vic.edu.au,Government,Prep-6,Primary,RATTRAY ROAD,MONTMORENCY,VIC,3094,-37.7175889,145.1215947,96
Ivanhoe East Primary School,http://www.ivanhoeeastps.vic.edu.au/,Government,Prep-6,Primary,WARNCLIFFE ROAD,IVANHOE EAST,VIC,3079,-37.7745533,145.058944,96
Montmorency South Primary School,http://www.montysouth.vic.edu.au,Government,Prep-6,Primary,64 BUENA VISTA DRIVE,MONTMORENCY,VIC,3094,-37.725523,145.129413,94
Greensborough Primary School,http://www.greensborough.vic.edu.au,Government,Prep-6,Primary,130 GRIMSHAW STREET,GREENSBOROUGH,VIC,3088,-37.703506,145.099937,88
Watsonia North Primary School,http://www.wats-north.vic.edu.au,Government,Prep-6,Primary,16 SHARPES ROAD,WATSONIA NORTH,VIC,3087,-37.701541,145.08003,87
Ivanhoe Primary School,http://www.ivanhoeps.vic.edu.au,Government,Prep-6,Primary,122 WATERDALE ROAD,IVANHOE,VIC,3079,-37.76658,145.043147,97
Briar Hill Primary School,http://www.vrqa.vic.gov.au/StateRegister/Provider.aspx/DetailsProvider?AccountID=0e8ec00c-ed32-de11-9c94-002185cd8e5c,Government,Prep-6,Primary,GLADSTONE ROAD,BRIAR HILL,VIC,3088,-37.7081629,145.1160643,78
Preston North East Primary School,http://www.pneps.vic.edu.au,Government,Prep-6,Primary,CNR LAUREL & TYLER STREETS,EAST PRESTON,VIC,3072,-37.7326699,145.0286712,82
Kingsbury Primary School,http://www.kingsburyps.vic.edu.au,Government,Prep-6,Primary,1A MARYBOROUGH AVENUE,KINGSBURY,VIC,3083,-37.715801,145.037004,66
Sherbourne Primary School,http://www.sherbps.vic.edu.au,Government,Prep-6,Primary,OUTLOOK CRESCENT,BRIAR HILL,VIC,3088,-37.709067,145.1301378,84
Reservoir East Primary School,http://www.vrqa.vic.gov.au/StateRegister/Provider.aspx/DetailsProvider?AccountID=00515524-ed32-de11-9c94-002185cd8e5c,Government,Prep-6,Primary,BOLDREWOOD PARADE,RESERVOIR,VIC,3073,-37.7202112,145.0226588,70
Eltham Primary School,http://www.elthamps.vic.edu.au,Government,Prep-6,Primary,DALTON STREET,ELTHAM,VIC,3095,-37.7249622,145.1480831,97
